PLAYER;TEAM;DIV;POS;BORN;GP;MP;ORTG;DRTG;NRTG;OBPM;DBPM;BPM;VORP;OWS;DWS;WS;WS/40;PER
Jonas Keil;HAKRO Merlins Crailsheim;B;Wing;2005;9;178.2;53.3;99.8;-46.4;-6.6;-0.7;-7.3;-2.5;-0.8;0.0;-0.7;-0.16;1.7
Mihailo Drinic;Tornados Franken;B;Point;2006;7;85.4;68.5;91.0;-22.4;-3.2;-1.0;-4.2;-0.5;-0.2;0.1;0.0;-0.01;1.7
Nils Hensel;Team Südhessen;B;Wing;2006;3;47.6;58.3;109.0;-50.6;-4.9;-1.3;-6.2;-1.0;-0.3;-0.1;-0.4;-0.31;1.7
Julius Lehmann;Niners Chemnitz Academy;A;Wing;2007;1;15.3;0.0;126.1;-126.1;-3.8;0.3;-3.5;0.1;0.0;0.0;0.0;-0.12;1.7
Vaclav Nosek;Team Urspring;A;Wing;2008;1;1.8;0.0;44.6;-44.6;-4.8;0.3;-4.5;0.0;0.0;0.0;0.0;-0.22;1.7
Enrico Wandt;Rostock Seawolves;B;Forward;2006;2;14.5;50.7;98.5;-47.9;-4.0;0.0;-4.0;0.0;0.0;0.0;0.0;-0.10;1.7
Oskar Sandmann;Dresden Titans;B;Wing;2006;10;209.5;60.4;105.4;-44.9;-5.0;0.4;-4.6;-1.3;-0.7;0.0;-0.8;-0.14;1.6
Laurens Rieping;UBC Münster;A;Combo;2007;4;24.5;56.0;96.2;-40.2;-4.4;-0.6;-4.9;-0.3;-0.1;0.0;-0.1;-0.15;1.6
Martin Kalu;FC Bayern München;A;Wing;2005;2;56.4;54.8;91.2;-36.4;-4.3;-0.9;-5.2;-0.8;-0.4;0.1;-0.3;-0.24;1.4
Malik Karaboue;ART Giants Düsseldorf;B;Forward;2005;3;23.0;45.5;123.0;-77.5;-5.2;0.4;-4.8;-0.3;-0.1;0.0;-0.1;-0.24;1.3
Kaloyan Iskrenov Lozanov;Team Urspring;A;Combo;2007;9;53.3;65.4;101.6;-36.2;-4.7;-0.3;-5.0;-0.5;-0.2;0.1;-0.1;-0.11;1.3
Barnabas Bode;Eintracht Frankfurt;B;Combo;2005;5;75.7;49.3;83.8;-34.6;-1.7;0.4;-1.3;0.5;-0.1;0.2;0.1;0.04;1.3
Romeo Akue-Dovi;SG Junior Löwen Braunschweig;B;Forward;2006;8;112.8;57.9;91.4;-33.5;-4.9;-1.0;-5.9;-1.3;-0.4;0.2;-0.2;-0.07;1.2
Simon Oberstadt;Berlin Braves Baskets;B;Combo;2006;8;74.6;56.4;93.0;-36.6;-3.8;-0.5;-4.3;-0.4;-0.3;0.1;-0.2;-0.10;0.9
Koray Grenz;FC Bayern München;A;Forward;2007;11;178.9;56.2;102.2;-45.9;-1.9;0.6;-1.3;0.4;-0.5;0.0;-0.4;-0.10;0.8
Niklas Schulz;Medipolis SC Jena;A;Combo;2005;7;31.8;45.4;100.5;-55.2;-3.4;0.4;-2.9;0.3;-0.1;0.0;-0.1;-0.11;0.8
Emre Gülseckin;SG Junior Löwen Braunschweig;B;Point;2005;7;150.2;57.9;101.0;-43.1;-5.4;-0.3;-5.7;-1.6;-0.8;0.1;-0.6;-0.17;0.5
Noah Dapaah;Tornados Franken;B;Combo;2007;5;31.1;69.1;90.6;-21.5;-4.1;-0.1;-4.1;-0.1;-0.1;0.1;0.0;-0.01;0.0
Liam Gföllner;Alba Berlin;A;Combo;2007;7;90.0;56.7;83.1;-26.5;-4.5;-1.2;-5.7;-1.1;-0.4;0.2;-0.2;-0.09;0.0
Luca Barthel;Würzburg Baskets Akademie;B;Point;2008;1;2.3;0.0;90.9;-90.9;-4.6;0.0;-4.6;0.0;0.0;0.0;0.0;0.01;0.0
Nikola Pecanac;FC Bayern München;A;Wing;2009;1;0.4;0.0;103.7;-103.7;-4.7;0.0;-4.7;0.0;0.0;0.0;0.0;-0.06;0.0
Lars Schröder;Baskets Juniors Oldenburg;A;Combo;2007;2;3.0;0.0;114.8;-114.8;-4.5;0.0;-4.5;0.0;0.0;0.0;0.0;-0.08;0.0
Henry Hollander;Eisbären Bremerhaven;A;Point;2005;1;2.1;0.0;133.1;-133.1;-4.7;0.0;-4.7;0.0;0.0;0.0;0.0;-0.24;0.0
Henri Dinse;TG Hanau;B;Wing;2008;2;24.3;28.1;123.2;-95.1;-3.7;0.0;-3.7;0.0;0.0;-0.1;-0.1;-0.23;0.0
Eric Akem;Phoenix Hagen;B;Wing;2007;2;3.1;0.0;95.5;-95.5;-4.6;0.0;-4.6;0.0;0.0;0.0;0.0;0.01;0.0
