PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD
Max Riedel;Alba Berlin;A;Point;2006;2;5.7;2;0;0;2;0;1;0;2;0;0
Jamie Camron Edoka;Eintracht Frankfurt;A;Point;2008;1;24.8;2;3;3;1;0;1;3;2;0;0
Frederik Selzer;Bayer Giants Leverkusen;A;Big;2006;1;4.5;2;3;0;0;0;1;2;4;0;0
Alexios Kyriakidis;Medipolis SC Jena;A;Forward;2006;2;6.8;2;0;0;0;0;1;2;0;0;0
Till Galler;Team Urspring;A;Point;2007;3;13.6;2;0;3;1;0;1;6;5;0;0
Gido Nanninga;Baskets Juniors Oldenburg;A;Big;2006;4;8.1;2;5;1;0;0;1;2;7;0;0
Danylo Kolesnichenko;Baskets Paderborn;A;Forward;2007;3;16.6;2;4;1;1;1;4;0;1;0;0
Namik Muratovic;FC Bayern München;A;Big;2008;2;8.3;2;3;0;0;1;5;3;-1;0;0
Lazar Klaric;Baskets Juniors Oldenburg;A;Wing;2006;5;54.5;2;6;6;2;2;7;12;0;0;0
Paul Luis Schwabe;Young Rasta Dragons;A;Forward;2005;1;8.5;2;1;0;0;0;0;1;3;0;0
Jordan Knacke;KICKZ IBAM;A;Forward;2007;1;17.7;2;3;0;1;0;0;1;3;0;0
Finn Paris;Baskets Paderborn;A;Point;2006;3;19.5;2;0;2;0;0;4;4;-1;0;0
Daniel Obehi Mack;Porsche BBA Ludwigsburg;A;Big;2005;3;4.4;2;1;0;0;1;0;0;4;0;0
Moritz Renner;KICKZ IBAM;A;Wing;2007;1;2.9;2;2;0;1;0;0;0;3;0;0
Rephael Edward;Eintracht Frankfurt;A;Big;2007;2;11.4;2;5;0;0;1;1;2;6;0;0
Daniel Biel;Medipolis SC Jena;A;Big;2007;3;22.9;2;8;4;1;1;5;1;4;0;0
Tobias Neubert;Tornados Franken;A;Point;2006;3;19.8;1;0;1;1;0;3;2;-5;0;0
Julian Kirchhoff;Baskets Paderborn;A;Forward;2005;3;16.2;1;4;1;0;0;4;0;1;0;0
Yari Monninkhoff;Alba Berlin;A;Forward;2007;2;6.2;1;2;0;0;0;0;1;2;0;0
Leo Kirchhoff;UBC Münster;A;Point;2007;3;19.1;1;0;6;2;0;5;3;2;0;0
Jonatan Kunze;Niners Chemnitz Academy;A;Forward;2005;2;10.0;0;2;0;0;0;0;3;1;0;0
