PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;PER;PIE
Jeremie Okitasumbu;TG Hanau;B;Big;2006;8;32.4;11.3;8.0;1.1;0.6;1.6;3.8;2.8;11.4;17.1;7.1
Erik Neunhöffer;Team Südhessen;B;Forward;2006;10;25.4;11.2;5.5;0.8;1.5;0.5;3.4;3.4;9.0;18.1;4.9
Simon Kohlhoff;Baskets Juniors Oldenburg;A;Combo;2006;13;30.3;11.2;4.9;3.1;2.7;0.5;2.8;1.6;11.8;21.9;10.3
Benjamin Jeß;Hamburg Towers;A;Forward;2006;13;26.1;11.2;4.5;1.1;1.0;0.1;2.0;1.2;9.2;21.3;9.0
Lars Kremer;Bayer Giants Leverkusen;A;Point;2006;14;23.9;11.1;3.4;3.6;2.4;0.4;3.8;2.6;8.4;20.2;6.4
Noah Wittmann;RheinStars Köln;B;Forward;2005;9;25.4;11.1;4.1;0.7;0.9;0.2;1.3;2.1;10.7;25.4;7.1
Leonhard Laar;Team Urspring;A;Forward;2006;11;22.8;11.1;4.2;1.1;0.5;0.3;1.5;2.8;10.5;25.5;7.0
Jermaine Fleck;Berlin Braves Baskets;B;Combo;2005;13;30.7;11.0;4.0;5.0;1.9;0.2;2.5;2.2;12.6;22.1;10.0
Husein Petlaca;BBA Giants Kornwestheim;B;Forward;2006;5;15.1;11.0;3.4;0.0;1.4;0.6;1.2;1.8;11.6;46.1;8.9
Esli Edigin;Porsche BBA Ludwigsburg;A;Forward;2005;9;23.6;10.8;5.8;2.6;1.0;0.9;1.4;2.4;12.6;26.3;8.6
Moek Icke;Porsche BBA Ludwigsburg;A;Big;2005;13;24.5;10.8;8.5;1.1;1.4;1.4;1.5;3.7;16.5;29.9;9.3
Tim Otto;Medipolis SC Jena;A;Forward;2005;12;21.3;10.7;4.7;1.2;1.0;0.6;1.4;2.6;12.1;30.2;7.4
Fynn Lastring;Metropol Baskets Ruhr;B;Forward;2007;8;24.4;10.6;6.6;1.9;0.6;1.5;2.0;1.9;13.5;25.5;9.3
Marko Masic;Porsche BBA Ludwigsburg;A;Wing;2005;12;24.8;10.5;3.9;2.2;1.5;0.4;2.1;3.4;9.8;20.6;5.0
Wendland Noah;Würzburg Baskets Akademie;B;Point;2007;6;26.9;10.5;2.2;2.3;1.3;0.2;4.7;2.5;7.5;15.0;4.0
Daniel Biel;Medipolis SC Jena;A;Forward;2007;7;16.9;10.4;4.6;0.4;1.1;0.3;2.0;0.6;11.6;36.1;8.9
Maximilian Waimann;Metropol Baskets Ruhr;B;Point;2007;8;23.8;10.4;1.0;2.5;1.4;0.0;1.5;2.1;9.5;23.1;6.8
Jonathan Gerlinger;BBA Giants Kornwestheim;B;Big;2005;8;23.7;10.4;10.5;0.9;0.8;0.8;1.6;2.1;18.1;37.8;14.6
Dorian Grosber;Alba Berlin;A;Wing;2006;11;24.4;10.4;6.5;3.6;1.8;0.5;2.4;2.6;13.5;26.0;11.6
Noah Wendland;Würzburg Baskets Akademie;B;Wing;2007;3;22.1;10.3;3.7;3.3;0.3;1.0;4.0;3.3;9.0;18.4;4.3
Emil Bode;Sartorius Juniors;B;Combo;2006;9;26.0;10.3;3.8;2.6;2.3;0.1;2.0;1.4;9.6;23.2;7.0
Luca von Thun;Eisbären Bremerhaven;A;Big;2005;12;24.0;10.3;8.3;0.5;0.4;2.4;2.5;3.3;13.3;22.8;7.5
Emanuel Mpacko;Berlin Braves Baskets;B;Wing;2005;8;20.0;10.3;3.0;1.8;1.9;0.4;1.5;2.1;11.1;30.5;7.9
Marko Josipovic;VfL Kirchheim Knights;B;Big;2005;14;19.9;10.2;7.4;1.4;1.1;0.6;1.6;3.1;14.5;36.8;9.2
Anton Nufer;Alba Berlin;A;Combo;2006;12;27.0;10.2;3.7;3.4;1.3;0.4;2.8;2.4;9.2;16.9;7.4
Nelson Martin;Hamburg Towers;A;Point;2006;13;22.5;10.2;4.2;4.2;2.5;0.0;3.3;2.4;9.8;24.5;8.9
Tom Brüggemann;Baskets Paderborn;A;Point;2007;10;29.2;10.1;3.1;6.6;1.7;0.4;5.4;2.8;10.7;17.1;7.4
